避難所ID,自治体コード,名称,住所,x座標,y座標,避難所面積,収容可能人数,電話番号,付加情報
2820100001,28201,宮区民総合センター,家島町宮1049,134.5342447,34.67586906,200,26,079-999-9999,-
2820100002,28201,宮区民会館,家島町宮1055,134.5340085,34.67560014,200,26,079-999-9999,-
2820100003,28201,宮防災会館,家島町宮1631-2,134.5311873,34.67268774,200,26,079-999-9999,-
2820100004,28201,姫路市立家島宮老人の家,家島町宮1443,134.5361901,34.67151272,200,26,079-999-9999,-
2820100005,28201,兵庫県立家島高等学校,家島町宮1759-1,134.5294477,34.66906725,700,91,079-999-9999,-
2820100006,28201,姫路市立家島中学校,家島町宮1877-2,134.5305507,34.66854919,500,65,079-999-9999,-
2820100007,28201,姫路市立家島男鹿老人の家,家島町宮2165-11,134.582693,34.66916047,200,26,079-999-9999,-
2820100008,28201,家島保健福祉サービスセンター,家島町宮2169,134.5304189,34.67368063,200,26,079-999-9999,-
2820100009,28201,家島B＆G海洋センター,家島町真浦1732-73,134.5197926,34.66956721,200,26,079-999-9999,-
2820100010,28201,家島老人福祉センター,家島町真浦1769,134.5224978,34.66938322,200,26,079-999-9999,-
2820100011,28201,家島公民館,家島町真浦2137-1,134.5320604,34.6756557,200,26,079-999-9999,-
2820100012,28201,姫路市立家島小学校,家島町真浦2141,134.5308653,34.67460299,300,39,079-999-9999,-
2820100013,28201,姫路市立家島幼稚園,家島町真浦2152,134.5296773,34.67443682,200,26,079-999-9999,-
2820100014,28201,真浦区民会館,家島町真浦2379,134.5273447,34.6772119,200,26,079-999-9999,-
2820100015,28201,真浦区民総合センター,家島町真浦571,134.5271381,34.67773036,200,26,079-999-9999,-
2820100016,28201,坊勢青年会館,家島町坊勢143,134.514922,34.65432305,200,26,079-999-9999,-
2820100017,28201,家島群島開発総合センター,家島町坊勢186,134.5170615,34.65558938,200,26,079-999-9999,-
2820100018,28201,姫路市立坊勢幼稚園,家島町坊勢303-3,134.5156011,34.65318023,200,26,079-999-9999,-
2820100019,28201,姫路市立坊勢小学校,家島町坊勢415-1,134.5146194,34.65262343,300,39,079-999-9999,-
2820100020,28201,姫路市立坊勢中学校,家島町坊勢430-１,134.5141635,34.65146248,500,65,079-999-9999,-
2820100021,28201,坊勢スポーツセンター,家島町坊勢700-24,134.5177328,34.65144126,200,26,079-999-9999,-
2820100022,28201,姫路市立置塩小学校,夢前町宮置235,134.673751,34.91190282,300,39,079-999-9999,-
2820100023,28201,置塩公民館,夢前町宮置292-2,134.6750758,34.91134761,200,26,079-999-9999,-
2820100024,28201,姫路市立菅野中学校,夢前町護持29-1,134.6389397,34.94114542,500,65,079-999-9999,-
2820100025,28201,姫路市立上菅小学校,夢前町護持381-2,134.6341433,34.94264974,300,39,079-999-9999,-
2820100026,28201,小畑公民館,夢前町山之内庚463,134.6439363,35.02460765,200,26,079-999-9999,-
2820100027,28201,（旧）山之内小学校,夢前町山之内甲619,134.6690934,35.02993185,300,39,079-999-9999,-
2820100028,28201,菅生公民館,夢前町菅生澗1384-1,134.6358192,34.92310489,200,26,079-999-9999,-
2820100029,28201,姫路市立菅生小学校,夢前町菅生澗802-1,134.6421635,34.91668456,300,39,079-999-9999,-
2820100030,28201,姫路市立前之庄小学校,夢前町前之庄2838-1,134.6811185,34.97269875,300,39,079-999-9999,-
2820100031,28201,姫路市立鹿谷中学校,夢前町前之庄2860,134.682296,34.97212461,500,65,079-999-9999,-
2820100032,28201,豊岡総合センター,夢前町前之庄4353-5,134.6739972,34.97035009,200,26,079-999-9999,-
2820100033,28201,兵庫県立夢前高等学校,夢前町前之庄643,134.6855731,34.96143593,700,91,079-999-9999,-
2820100034,28201,古知公民館,夢前町古知之庄318,134.6839462,34.94505076,200,26,079-999-9999,-
2820100035,28201,姫路市立古知小学校,夢前町古知之庄401-1,134.6780274,34.94644384,300,39,079-999-9999,-
2820100036,28201,上菅公民館,夢前町塚本225-1,134.6383077,34.93295103,200,26,079-999-9999,-
2820100037,28201,姫路市立置塩中学校,夢前町又坂50,134.6736527,34.9275846,500,65,079-999-9999,-
2820100038,28201,姫路市立莇野小学校,夢前町莇野299-2,134.6326917,34.9764185,300,39,079-999-9999,-
2820100039,28201,莇野公民館,夢前町莇野326-3,134.6311226,34.97753444,200,26,079-999-9999,-
2820100040,28201,姫路市立香寺中学校,香寺町岩部293,134.7364429,34.91887352,500,65,079-999-9999,-
2820100041,28201,犬飼公民館,香寺町犬飼464-1,134.7349451,34.90155404,200,26,079-999-9999,-
2820100042,28201,広瀬ふれあい会館,香寺町広瀬42-1,134.7400113,34.91041486,200,26,079-999-9999,-
2820100043,28201,姫路市休養センター「香寺荘」,香寺町恒屋1470,134.7124634,34.94583533,200,26,079-999-9999,-
2820100044,28201,北恒屋公民館,香寺町恒屋1551-1,134.7185227,34.94212084,200,26,079-999-9999,-
2820100045,28201,姫路市立香呂小学校,香寺町香呂626,134.7306425,34.91175325,300,39,079-999-9999,-
2820100046,28201,姫路市立香呂南小学校,香寺町須加院173,134.7263314,34.89450294,300,39,079-999-9999,-
2820100047,28201,香寺北公民館,香寺町中寺121-1,134.7316854,34.93083401,200,26,079-999-9999,-
2820100048,28201,姫路市立中寺小学校,香寺町中寺231,134.7298355,34.9318303,300,39,079-999-9999,-
2820100049,28201,香寺公民館,香寺町土師396,134.7292316,34.92658589,200,26,079-999-9999,-
2820100050,28201,兵庫県立香寺高等学校,香寺町土師547,134.7351922,34.93131445,700,91,079-999-9999,-
2820100051,28201,香寺健康福祉センター,香寺町矢田部733,134.7254299,34.92491476,200,26,079-999-9999,-
2820100052,28201,ネスパルやすとみ,安富町安志1151,134.5954615,34.98584377,200,26,079-999-9999,-
2820100053,28201,姫路市立安富中学校,安富町安志320-1,134.5939015,34.9908589,500,65,079-999-9999,-
2820100054,28201,姫路市立安富南小学校,安富町安志869,134.5908524,34.98537648,300,39,079-999-9999,-
2820100055,28201,関公民館,安富町関696,134.6263517,35.05962248,200,26,079-999-9999,-
2820100056,28201,狭戸公民館,安富町狭戸644-1,134.5797901,34.95775106,200,26,079-999-9999,-
2820100057,28201,姫路市立安富北小学校,安富町杤原664-2,134.6044474,35.02086101,300,39,079-999-9999,-
2820100058,28201,広畑第二公民館,広畑区高浜町三丁目21,134.6221212,34.79971785,200,26,079-999-9999,-
2820100059,28201,城乾公民館,南新在家6-1,134.6852943,34.84465198,200,26,079-999-9999,-
2820100060,28201,網干南公園ふれあいの館,網干区新在家246,134.5926301,34.77290349,200,26,079-999-9999,-
2820100061,28201,青山公民館,青山五丁目2-1,134.6396658,34.84527133,200,26,079-999-9999,-
2820100062,28201,青山小学校,青山北三丁目42-1,134.6332503,34.85203947,300,39,079-999-9999,-
2820100063,28201,英賀保公民館,飾磨区英賀清水町一丁目14,134.6448418,34.80794353,200,26,079-999-9999,-
2820100064,28201,英賀保小学校,飾磨区英賀清水町二丁目76,134.6446608,34.80697273,300,39,079-999-9999,-
2820100065,28201,朝日中学校,網干区坂出1-1,134.590124,34.80405386,500,65,079-999-9999,-
2820100066,28201,網干公民館,網干区新在家363-31,134.5919633,34.78028626,200,26,079-999-9999,-
2820100067,28201,網干高校,網干区新在家259-1,134.5919215,34.77398497,700,91,079-999-9999,-
2820100068,28201,網干市民センター,網干区垣内中町120,134.5889309,34.78926343,200,26,079-999-9999,-
2820100069,28201,網干小学校,網干区新在家897-1,134.5930161,34.78144713,300,39,079-999-9999,-
2820100070,28201,網干中学校,網干区新在家1320-4,134.591192,34.78535477,500,65,079-999-9999,-
2820100071,28201,網干西公民館,網干区興浜1209-1,134.581925,34.78134432,200,26,079-999-9999,-
2820100072,28201,網干西小学校,網干区浜田24,134.5787122,34.7810984,300,39,079-999-9999,-
2820100073,28201,網干幼稚園,網干区興浜16,134.5859877,34.78069632,200,26,079-999-9999,-
2820100074,28201,荒川公民館,町坪127-4,134.6582568,34.82082944,200,26,079-999-9999,-
2820100075,28201,荒川小学校,井ノ口49-1,134.6615414,34.82195638,300,39,079-999-9999,-
2820100076,28201,荒川幼稚園,町坪127,134.6589331,34.82102573,200,26,079-999-9999,-
2820100077,28201,伊勢公民館,林田町上伊勢1077-5,134.608903,34.906473,200,26,079-999-9999,-
2820100078,28201,伊勢小学校,林田町上伊勢886-1,134.6085814,34.90179793,300,39,079-999-9999,-
2820100079,28201,糸引公民館,継156-1,134.7211111,34.79253613,200,26,079-999-9999,-
2820100080,28201,糸引小学校,東山114-1,134.7175034,34.7946299,300,39,079-999-9999,-
2820100081,28201,太市公民館,西脇439-8,134.6044991,34.86336776,200,26,079-999-9999,-
2820100082,28201,太市小学校,西脇507,134.6032577,34.86324396,300,39,079-999-9999,-
2820100083,28201,大塩公民館,大塩町汐咲一丁目39,134.7570586,34.779273,200,26,079-999-9999,-
2820100084,28201,大塩小学校,大塩町汐咲二丁目19,134.754938,34.77894691,300,39,079-999-9999,-
2820100085,28201,大津公民館,大津区天満883-1,134.6078026,34.79600969,200,26,079-999-9999,-
2820100086,28201,大津小学校,大津区天満1001-4,134.6062457,34.79770849,300,39,079-999-9999,-
2820100087,28201,大津中学校,大津区長松229,134.603006,34.79965325,500,65,079-999-9999,-
2820100088,28201,大津茂公民館,勝原区勝原町16-2,134.6004962,34.8071054,200,26,079-999-9999,-
2820100089,28201,大津茂小学校,網干区田井22,134.5998472,34.80266287,300,39,079-999-9999,-
2820100090,28201,大的市民センター,大塩町2211-5,134.7522505,34.77680999,200,26,079-999-9999,-
2820100091,28201,大的中学校,大塩町2213-2,134.7520605,34.77601706,500,65,079-999-9999,-
2820100092,28201,勝原市民センタ―,勝原区丁743,134.597316,34.81443266,200,26,079-999-9999,-
2820100093,28201,勝原小学校,勝原区丁735-3,134.5980289,34.81514358,300,39,079-999-9999,-
2820100094,28201,旭陽公民館,網干区坂上430-2,134.5870024,34.80159919,200,26,079-999-9999,-
2820100095,28201,旭陽小学校,網干区坂上425-1,134.5866844,34.80126723,300,39,079-999-9999,-
2820100096,28201,琴陵中学校,山畑新田525,134.6780382,34.83811874,500,65,079-999-9999,-
2820100097,28201,勤労市民会館,中地354,134.6682996,34.81993677,200,26,079-999-9999,-
2820100098,28201,勤労者体育センター,飾磨区細江104-3,134.6715378,34.80471035,200,26,079-999-9999,-
2820100099,28201,琴丘高校,今宿668,134.660161,34.83800644,700,91,079-999-9999,-
2820100100,28201,山陽中学校,延末103-1,134.6783695,34.8231625,500,65,079-999-9999,-
2820100101,28201,飾磨公民館,飾磨区宮16,134.6696257,34.7959941,200,26,079-999-9999,-
2820100102,28201,飾磨工業高校,飾磨区細江319,134.6692631,34.80166962,700,91,079-999-9999,-
2820100103,28201,飾磨高校,飾磨区妻鹿672,134.6993923,34.79378385,700,91,079-999-9999,-
2820100104,28201,飾磨市民センター,飾磨区玉地一丁目27,134.6773753,34.79979893,200,26,079-999-9999,-
2820100105,28201,飾磨小学校,飾磨区恵美酒22,134.6724868,34.79894695,300,39,079-999-9999,-
2820100106,28201,飾磨中部中学校,飾磨区細江206,134.6704829,34.80330648,500,65,079-999-9999,-
2820100107,28201,飾磨西中学校,飾磨区構二丁目93,134.6614148,34.80943472,500,65,079-999-9999,-
2820100108,28201,飾磨東中学校,飾磨区三和町26,134.6833957,34.79930407,500,65,079-999-9999,-
2820100109,28201,四郷公民館,四郷町坂元258-1,134.7228144,34.81094816,200,26,079-999-9999,-
2820100110,28201,四郷小学校,四郷町坂元227,134.7232923,34.81031523,300,39,079-999-9999,-
2820100111,28201,四郷中学校,四郷町坂元345-2,134.7206886,34.81214501,500,65,079-999-9999,-
2820100112,28201,市民会館,総社本町112,134.6955674,34.83282856,200,26,079-999-9999,-
2820100113,28201,生涯学習大学校,田寺東二丁目11-1,134.674974,34.85602258,200,26,079-999-9999,-
2820100114,28201,城乾市民センター,南八代町6-1,134.6869033,34.84270933,200,26,079-999-9999,-
2820100115,28201,城乾小学校,南八代町6-60,134.6867863,34.84348524,300,39,079-999-9999,-
2820100116,28201,城乾中学校,南八代町6-1,134.6860274,34.84252234,500,65,079-999-9999,-
2820100117,28201,城西小学校,新在家二丁目4-1,134.6815987,34.844843,300,39,079-999-9999,-
2820100118,28201,城東公民館,城東町竹之門15,134.7052226,34.83709037,200,26,079-999-9999,-
2820100119,28201,城東小学校,城東町竹之門1,134.7049398,34.83660623,300,39,079-999-9999,-
2820100120,28201,城東幼稚園,城東町野田1-2,134.7086034,34.8344585,200,26,079-999-9999,-
2820100121,28201,城南公民館,西二階町68-1,134.6882328,34.83274839,200,26,079-999-9999,-
2820100122,28201,城北公民館,伊伝居490-2,134.6982226,34.85071796,200,26,079-999-9999,-
2820100123,28201,城北小学校,伊伝居600-2,134.6973431,34.84969167,300,39,079-999-9999,-
2820100124,28201,城陽公民館,北条1053-1,134.6979598,34.8209149,200,26,079-999-9999,-
2820100125,28201,城陽小学校,北条923-1,134.6976268,34.82216875,300,39,079-999-9999,-
2820100126,28201,書写中学校,書写台二丁目34,134.6467867,34.86875471,500,65,079-999-9999,-
2820100127,28201,白浜公民館,白浜町甲 350の7,134.7071924,34.78560562,200,26,079-999-9999,-
2820100128,28201,白浜小学校,白浜町甲458,134.704899,34.78630262,300,39,079-999-9999,-
2820100129,28201,白浜幼稚園,白浜町甲842-2,134.7036522,34.7836749,200,26,079-999-9999,-
2820100130,28201,城の西公民館,岡町33,134.6848486,34.84026359,200,26,079-999-9999,-
2820100131,28201,城山中学校,飾東町豊国1163-5,134.7465973,34.8478571,500,65,079-999-9999,-
2820100132,28201,神南中学校,船津町3937,134.7578789,34.90868543,500,65,079-999-9999,-
2820100133,28201,船場公民館,東雲町一丁目29,134.6817938,34.83239516,200,26,079-999-9999,-
2820100134,28201,船場小学校,東雲町一丁目29,134.682432,34.83261645,300,39,079-999-9999,-
2820100135,28201,総合スポーツ会館,中地453,134.6671197,34.82012872,200,26,079-999-9999,-
2820100136,28201,曽左公民館,書写2961-1,134.6485594,34.87492608,200,26,079-999-9999,-
2820100137,28201,曽左小学校,書写634-51,134.6615401,34.86853595,300,39,079-999-9999,-
2820100138,28201,大白書中学校,飾西652,134.645534,34.85867982,500,65,079-999-9999,-
2820100139,28201,高岡市民センター,東今宿五丁目3-20,134.6638945,34.84190004,200,26,079-999-9999,-
2820100140,28201,高岡小学校,西今宿四丁目8-1,134.6637684,34.84601954,300,39,079-999-9999,-
2820100141,28201,高丘中学校,山吹一丁目4-13,134.6643542,34.85031803,500,65,079-999-9999,-
2820100142,28201,高岡西公民館,上手野41-4,134.6562766,34.84917704,200,26,079-999-9999,-
2820100143,28201,高岡西小学校,上手野1-1,134.6557841,34.84813216,300,39,079-999-9999,-
2820100144,28201,高浜公民館,飾磨区阿成鹿古312,134.6870773,34.80155587,200,26,079-999-9999,-
2820100145,28201,高浜小学校,飾磨区阿成鹿古250,134.6864804,34.80006103,300,39,079-999-9999,-
2820100146,28201,谷内公民館,飾東町八重畑1032-2,134.7750359,34.85742936,200,26,079-999-9999,-
2820100147,28201,谷内小学校,飾東町八重畑130-1,134.7773288,34.85664552,300,39,079-999-9999,-
2820100148,28201,谷外公民館,飾東町豊国63-1,134.7413399,34.84161888,200,26,079-999-9999,-
2820100149,28201,谷外小学校,飾東町豊国560,134.7420638,34.84438354,300,39,079-999-9999,-
2820100150,28201,中央市民センター,本町68-68,134.6986073,34.84116865,200,26,079-999-9999,-
2820100151,28201,中央体育館,西延末90,134.6721191,34.8211877,200,26,079-999-9999,-
2820100152,28201,津田公民館,飾磨区加茂373-1,134.6589232,34.80405024,200,26,079-999-9999,-
2820100153,28201,津田小学校,飾磨区今在家三丁目233,134.6583973,34.80361927,300,39,079-999-9999,-
2820100154,28201,手柄公民館,延末149-1,134.6789132,34.82140741,200,26,079-999-9999,-
2820100155,28201,手柄小学校,延末148-2,134.6781666,34.82166668,300,39,079-999-9999,-
2820100156,28201,東光中学校,国府寺町80,134.7027111,34.83461143,500,65,079-999-9999,-
2820100157,28201,砥堀公民館,砥堀1152-1,134.7299152,34.87150431,200,26,079-999-9999,-
2820100158,28201,砥堀小学校,砥堀1240-3,134.730776,34.87544087,300,39,079-999-9999,-
2820100159,28201,豊富公民館,豊富町御蔭1118,134.7466834,34.88246404,200,26,079-999-9999,-
2820100160,28201,豊富小学校,豊富町御蔭925,134.7484442,34.88249403,300,39,079-999-9999,-
2820100161,28201,豊富中学校,豊富町御蔭944,134.7483982,34.8818721,500,65,079-999-9999,-
2820100162,28201,灘市民センター,白浜町丙434,134.7131643,34.78250913,200,26,079-999-9999,-
2820100163,28201,灘中学校,白浜町神田一丁目33,134.7062467,34.7919691,500,65,079-999-9999,-
2820100164,28201,西市民センター,飾西728-5,134.6440451,34.86118052,200,26,079-999-9999,-
2820100165,28201,野里公民館,野里慶雲寺前町9-10,134.701057,34.84485995,200,26,079-999-9999,-
2820100166,28201,野里小学校,坊主町3-1,134.6979273,34.8432804,300,39,079-999-9999,-
2820100167,28201,旧野里幼稚園,野里堀留町9-1,134.7033547,34.84403037,200,26,079-999-9999,-
2820100168,28201,白鳥公民館,飾西85-1,134.637755,34.86310864,200,26,079-999-9999,-
2820100169,28201,白鳥小学校,飾西341,134.6426642,34.86342025,300,39,079-999-9999,-
2820100170,28201,白鷺小中学校,本町68-52,134.690293,34.835217,500,65,079-999-9999,-
2820100171,28201,花田公民館,花田町小川1074-3,134.7208491,34.83951085,200,26,079-999-9999,-
2820100172,28201,花田小学校,花田町勅旨264-2,134.7247207,34.8349576,300,39,079-999-9999,-
2820100173,28201,花田中学校,花田町小川1246-1,134.7229215,34.8475481,500,65,079-999-9999,-
2820100174,28201,花の北市民広場,増位新町二丁目12,134.7105965,34.85677298,200,26,079-999-9999,-
2820100175,28201,林田公民館,林田町林田13,134.5809814,34.90433634,200,26,079-999-9999,-
2820100176,28201,林田小学校,林田町六九谷523,134.583199,34.9139592,300,39,079-999-9999,-
2820100177,28201,林田中学校,林田町林田33,134.5803385,34.90502225,500,65,079-999-9999,-
2820100178,28201,東公民館,幸町94,134.7049929,34.83160278,200,26,079-999-9999,-
2820100179,28201,東市民センター,花田町加納原田888-1,134.7278264,34.83274786,200,26,079-999-9999,-
2820100180,28201,東小学校,市之郷町二丁目34,134.7089516,34.82689433,300,39,079-999-9999,-
2820100181,28201,東中学校,別所町別所五丁目30-2,134.7523677,34.81511355,500,65,079-999-9999,-
2820100182,28201,旧東幼稚園,宮上町一丁目15-1,134.713514,34.83005303,200,26,079-999-9999,-
2820100183,28201,姫路工業高校,伊伝居600-1,134.6970752,34.84840381,700,91,079-999-9999,-
2820100184,28201,姫路高校,辻井九丁目1-10,134.6780799,34.85080324,700,91,079-999-9999,-
2820100185,28201,姫路飾西高校,飾西148-2,134.6360829,34.86106546,700,91,079-999-9999,-
2820100186,28201,姫路商業高校,井ノ口468,134.655871,34.82558585,700,91,079-999-9999,-
2820100187,28201,姫路市立好古学園大学校,田寺東二丁目2-1,134.6743276,34.85549943,200,26,079-999-9999,-
2820100188,28201,姫路西高校,北八代二丁目1-33,134.6950903,34.84958165,700,91,079-999-9999,-
2820100189,28201,姫路東高校,本町68-70,134.6989213,34.84050973,700,91,079-999-9999,-
2820100190,28201,姫路別所高校,別所町北宿303,134.7684342,34.80885629,700,91,079-999-9999,-
2820100191,28201,姫路南高校,大津区天満191-5,134.6099892,34.80287387,700,91,079-999-9999,-
2820100192,28201,兵庫県立大学姫路工学キャンパス,書写2167,134.6529546,34.87789542,200,26,079-999-9999,-
2820100193,28201,広畑公民館,広畑区本町一丁目53,134.6298022,34.80234496,200,26,079-999-9999,-
2820100194,28201,広畑市民センター,広畑区正門通一丁目7-3,134.6285015,34.80523771,200,26,079-999-9999,-
2820100195,28201,広畑小学校,広畑区清水町一丁目47,134.6323892,34.80438886,300,39,079-999-9999,-
2820100196,28201,広畑第二小学校,広畑区高浜町三丁目35,134.6213953,34.80146805,300,39,079-999-9999,-
2820100197,28201,広畑中学校,広畑区小松町三丁目83,134.6215513,34.80236895,500,65,079-999-9999,-
2820100198,28201,広峰公民館,城北新町一丁目11-23,134.6979462,34.85369522,200,26,079-999-9999,-
2820100199,28201,広峰小学校,峰南町2-1,134.695716,34.85751275,300,39,079-999-9999,-
2820100200,28201,広嶺中学校,峰南町2-43,134.695519,34.85994747,500,65,079-999-9999,-
2820100201,28201,船津小学校,船津町921-2,134.7574378,34.91879253,300,39,079-999-9999,-
2820100202,28201,ふれあいの館,船津町3288,134.7490282,34.92180952,200,26,079-999-9999,-
2820100203,28201,文化センター,西延末426-1,134.6768096,34.82406839,200,26,079-999-9999,-
2820100204,28201,別所公民館,別所町別所1717-4,134.7559021,34.80730377,200,26,079-999-9999,-
2820100205,28201,別所小学校,別所町別所673,134.7554851,34.8091265,300,39,079-999-9999,-
2820100206,28201,増位小学校,白国五丁目9-1,134.7028621,34.86346815,300,39,079-999-9999,-
2820100207,28201,増位中学校,増位新町二丁目4-1,134.7103845,34.85823381,500,65,079-999-9999,-
2820100208,28201,的形公民館,的形町的形1358-4,134.7397554,34.77751923,200,26,079-999-9999,-
2820100209,28201,的形小学校,的形町的形1619,134.7403523,34.77665137,300,39,079-999-9999,-
2820100210,28201,御国野公民館,御国野町御着1142-8,134.7408778,34.81883247,200,26,079-999-9999,-
2820100211,28201,御国野小学校,御国野町御着1049-3,134.742385,34.82089046,300,39,079-999-9999,-
2820100212,28201,水上小学校,西中島382,134.7137373,34.8549332,300,39,079-999-9999,-
2820100213,28201,南大津公民館,大津区勘兵衛町一丁目18-2,134.6146316,34.79141636,200,26,079-999-9999,-
2820100214,28201,南大津小学校,大津区真砂町40-2,134.6063454,34.78809744,300,39,079-999-9999,-
2820100215,28201,峰相公民館,六角278-3,134.6370734,34.88349209,200,26,079-999-9999,-
2820100216,28201,峰相小学校,打越582-1,134.6352815,34.884236,300,39,079-999-9999,-
2820100217,28201,妻鹿公民館,飾磨区妻鹿170-6,134.6943569,34.79195096,200,26,079-999-9999,-
2820100218,28201,妻鹿小学校,飾磨区妻鹿786-3,134.6952179,34.78886527,300,39,079-999-9999,-
2820100219,28201,八木公民館,木場1441-32,134.7248582,34.77848771,200,26,079-999-9999,-
2820100220,28201,八木小学校,八家24-2,134.7278746,34.78330023,300,39,079-999-9999,-
2820100221,28201,安室公民館,御立中三丁目3-7,134.6680835,34.86386657,200,26,079-999-9999,-
2820100222,28201,安室小学校,田寺六丁目11-12,134.6677266,34.85938706,300,39,079-999-9999,-
2820100223,28201,安室中学校,田寺東二丁目6-1,134.6720853,34.85563358,500,65,079-999-9999,-
2820100224,28201,安室東小学校,田寺東二丁目5-1,134.6730802,34.85541462,300,39,079-999-9999,-
2820100225,28201,山田公民館,山田町北山田109-6,134.7732992,34.91110033,200,26,079-999-9999,-
2820100226,28201,山田小学校,山田町北山田108,134.7740111,34.91124233,300,39,079-999-9999,-
2820100227,28201,八幡公民館,広畑区蒲田三丁目161,134.6427543,34.82603556,200,26,079-999-9999,-
2820100228,28201,八幡小学校,広畑区西蒲田1400-24,134.6368469,34.82494159,300,39,079-999-9999,-
2820100229,28201,夢前中学校,広畑区才226-1,134.6298289,34.81588947,500,65,079-999-9999,-
2820100230,28201,余部公民館,余部区上余部675-7,134.5702837,34.80149737,200,26,079-999-9999,-
2820100231,28201,余部小学校,余部区上余部643-1,134.5727693,34.80055661,300,39,079-999-9999,-
2820100232,28201,勝原公民館,勝原区宮田489-3,134.5962686,34.8141853,200,26,079-999-9999,-
2820100233,28201,兵庫県立大学姫路環境人間キャンパス,新在家本町一丁目1-12,134.6885507,34.84808822,200,26,079-999-9999,-
2820100234,28201,増位公民館,白国一丁目124－6,134.7047735,34.85734574,200,26,079-999-9999,-
2820100235,28201,城巽公民館,北条口三丁目29-3,134.6967123,34.8289134,200,26,079-999-9999,-
2820100236,28201,姫路獨協大学,上大野七丁目2-1,134.6888641,34.87330675,200,26,079-999-9999,-
2820100237,28201,図書館飾磨分館ホール,飾磨区下野田一丁目1,134.6779261,34.79916262,200,26,079-999-9999,-
2820100238,28201,前之庄公民館,夢前町前之庄2160,134.6849982,34.97304846,200,26,079-999-9999,-
2820100239,28201,姫路特別支援学校体育館,四郷町東阿保476-1,134.7151868,34.81391587,200,26,079-999-9999,-
2820100240,28201,姫路聴覚特別支援学校体育館,本町68-46,134.6872548,34.83668281,200,26,079-999-9999,-
2820100241,28201,書写養護学校体育館,書写台三丁目148番地1,134.6468461,34.86631665,200,26,079-999-9999,-
2820100242,28201,中央卸売市場管理棟,延末295,134.6809152,34.8225074,200,26,079-999-9999,-
2820100243,28201,埋蔵文化財センター,四郷町坂元414-1,134.7201063,34.81672121,200,26,079-999-9999,-
2820100244,28201,見野の郷交流館,四郷町見野964-5,134.7244221,34.80707987,200,26,079-999-9999,-
2820100245,28201,総合教育センター南館,北条口三丁目29,134.697073,34.82887126,200,26,079-999-9999,-
2820100246,28201,高岡公民館,東今宿五丁目3-40,134.6643191,34.84212425,200,26,079-999-9999,-
2820100247,28201,エコパークあぼし,網干区網干浜4-1,134.603389,34.76879557,200,26,079-999-9999,-
2820100248,28201,姫路しらさぎ特別支援学校体育館,苫編688－58,134.6542317,34.82268565,200,26,079-999-9999,-
2820100249,28201,曽左幼稚園,姫路市書写台一丁目62-1,134.6494947,34.87401126,200,26,079-999-9999,-
2820100250,28201,英賀保幼稚園,姫路市飾磨区英賀清水町二丁目73,134.6443871,34.80619483,200,26,079-999-9999,-
2820100251,28201,宮消防分団本部,姫路市家島町宮1061,134.5336367,34.67540802,200,26,079-999-9999,-
2820100252,28201,北部市民センター,夢前町前之庄2160,134.684817,34.972391,200,26,079-999-9999,-
2820100253,28201,安室東公民館,姫路市田寺東二丁目2-3,134.675527,34.855204,200,26,079-999-9999,-
2820100254,28201,兵庫県立子どもの館,太市中915-49,134.6241336,34.85365192,200,26,079-999-9999,-
2820100255,28201,姫路日ノ本短期大学・日ノ本学園高等学校,香寺町香呂890,134.729152,34.917793,700,91,079-999-9999,-
